Div,Branch,OAM,UpdateDate,LeadType,LeadSpecifics,Customer,Type,New,"City, St",ProjectOpportunity,KeyVendor,TechnologiesServices Proposed,PotentialValue,ProbPercent,CustomerCompelingEvent,Stage,YourNextBIGStep,ExpectedOrderDate,Notes
18,Austin,John Dodge,5/13/2020,Vendor,Adalet Lead,Ultra Electronics,End User,Existing Cust,Round Rock,Custom Transmitter for Nuclear Ind,AE,Adalet Instrument Housing,"$23,000",80%,,Quoting,Bid going out 5/20 for 2nd batch of units.   Follow-up with Purchasing,7/1/2020,2nd set of Adalet housings
18,Austin,John Dodge,5/14/2020,AWC Internal,"BestFest lead, followed up and came to Siemens digital factory workshop",Urban Mining,End User,New Cust,"San Marcos, TX",Control Room Upgrade,"SC, Dell",HMI Clients,"$21,000",50%,,Quoting,Zoom mtg with Urban and SW Solutions on 5/21 to review requirements & preliminary design,6/15/2020,(12)  HMI Clients for new control room
18,Austin,John Dodge,5/13/2020,Vendor,Metso Lead,WINSTON WATER COOLER OF AUSTIN,OEM,New Cust,"Pflugerville, TX",University of Texas Utilities Building ,JV,Valve Assemblies,"$14,840",75%,,Quoting,Phone call with contractor to see if they have won the project,6/15/2020,Phase 2 expansion
18,Austin,Mike Walshe,5/12/2020,Vendor,StoneL lead,Fuji Film,End User,New Cust,"College Station, TX ",College Station Flexible Biomanufacturing Facility,??,,,5%,,Discovery (S.P.I.N.),,4/1/2021,5/12 - Researching Opportunity and reaching out to customer to gain more understanding of the expansion project
18,Austin,Mike Walshe,5/12/2020,AWC Internal,AWC Valve Services Meeting,G-Con Manufacturing,OEM,Existing Cust,"College Station, TX ",POD Damper Assembly,Belimo,Assembly of Belimo Actuator with Ruskin Damper,"$125,000",25%,Fast assembly turnaround to meet aggressive lead times,Quoting,Build test assembly in Austin,6/4/2020,5/12 - Working with Shawn Mills and Tanner Smith on narrowing down the design
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,G-Con Manufacturing,OEM,Existing Cust,"College Station, TX ",POD EMS,SC,Automation/Scada,"$250,000",75%,,Working,,6/10/2020,"5/12 - Cost per EMS panel is $26k.  Working with Fred Maynard, Ben Green, and Carol Hoffman on SCADA need."
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,LSPI,OEM,Existing Cust,"Bryan, TX",XP1 & XP2 IOT,SC,Sinema RC & Telecontrol,"$20,000",75%,,Quoting,,6/3/2020,5/12 - Submitting proposal 5/12/2020 based off meeting requirements last week
18,Austin,Mike Walshe,5/12/2020,AWC Internal,AWC Services Capabilities Meeting,LSPI,OEM,Existing Cust,"Bryan, TX",IOT Device Installation,AWC/ACE,Service Contract,"$5,000,000",99%,,Working,,6/15/2020,5/12 - Contract to be sent over next week for review.  Training for service work is planned to start end of June or when LSPI HSE approves onsite work
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,OVIVO LLC,OEM,New Cust,"Round Rock, TX",Shop Test Panel,Allen Bradley,Control panel design and build,"$12,000",50%,,Quoting,,5/29/2020,5/12 - Submitted proposal 5/5/2020.  OVIVO with program the AB
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,OVIVO LLC,OEM,New Cust,"Round Rock, TX",Belfry WWTP,Allen Bradley,"Control Panel Design, build,  and programming services","$80,000",100%,,Won,,2/1/2020,5/12 - Panel QC completed.  Alterman AB software completion at 80%.  FAT scheduled end of May and SAT target end if June
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,OVIVO LLC,OEM,New Cust,"Round Rock, TX",Siemens Lab Panel,SC,Control panel design and build,"$7,000",100%,,Won,,4/15/2020,5/12 - Reworking panel with single phase VFD.  Bringing panel into Austin Lab for QC
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,OVIVO LLC,OEM,New Cust,"Round Rock, TX",Tertiary Membrane Filtration/Panel Assembly,SC,Control panel design and build with installation services,"$80,000",50%,"Needing to get into a new market and need a modular skid based design, they need AWC's help to integrate the PLC & VFDs into their control system",Working,,10/5/2020,5/12 - Cost per TMF is $80k.  Currently working on panel placement on skid
18,Austin,Mike Walshe,5/12/2020,AWC Internal,AWC Hotline request,RapidDeploy,OEM,New Cust,"Austin, TX",Cloud Aided Dispatch,PX,Edge Device,"$25,000",50%,Current IPC Intel Processor was outdated.  Required the latest Atom Processor to work with their software. ,Working,Finalize KIT requirement with their image,10/15/2020,Phoenix BL2 Box PC Passed testing with RapidDeploy Software.  Working through their requirements for KITTING (uploading image to PC)
18,Austin,Mike Walshe,5/12/2020,AWC Internal,Next Gen Design Meeting,SkyVenture,OEM,Existing Cust,"Austin, TX",Qatar VFD Assembly,SC,VFD Panel Design and Assembly,"$250,000",50%,Needed a globally supported solution that would meet IEC standards,Quoting,Finalizing G130 design with WE Manufacturing,10/15/2020,5/12 - Tunnel in design phase
18,Austin,Mike Walshe,5/12/2020,Vendor,Siemens Lead,Trinity Industry,End User,Existing Cust,"Navasota, TX",S5 to S7 Upgrade,SC,S7-1500 and Comfort Panel,"$10,000",25%,,Discovery (S.P.I.N.),,,5/12 - Working with site on scope
18,Austin,Mike Walshe,5/19/2020,AWC Internal,Next Gen Design Meeting,OVIVO LLC,OEM,New Cust,"Round Rock, TX",microBLOX MBR Packaged Wastwater Treatment,SC,Control panel design and build with installation services,"$80,000",50%,Previous integrator partnered with another MBR company.  Discussed our Next Gen design initiative on saving them money moving from AB to Siemens helping them innovate an outdated system.  ,Working,Working on final production design with Engineering,10/5/2020,5/12 - Cost per microBlox is $80k. 
18,Austin,Mike Walshe,5/19/2020,AWC Internal,AWC IOT capabilities utilzing Siemens Telecontrol and Sinema Server RC,LSPI,OEM,Existing Cust,"Bryan, TX",IOT Device Installation,AWC,AWC DATA Aquisition Box,"$150,000",99%,Current IOT solution has had multiple failures and is a custom greenboard solution sourced from China,Working,Meeting on Friday to discuss SCOPE for Limited Trial,6/15/2020,5/19 - Utilizing existing design from our initial demo system for them in 2019.  Having local panel shop build the 20 trial panels
18,Austin,Sean Marroquin,5/20/2020,AWC Internal,IAM,Austin White Lime,End User,Existing Cust,"Austin, TX",Plant Upgrade ,ST,"Weighing, Level, Mass Dynamics","$75,000",50%,"Plant underwent safety inspection, determined it needed to upgrade for safety and EPA requirements",Discovery (S.P.I.N.),Contact Joe Byrd for update. Customer upgrading instrumentation then focusing on automation,10/1/2020,5/19 Customer working with CPUSA
18,Austin,Sean Marroquin,5/20/2020,Vendor,AWC Specified Kenco with Titos in 2014,Brandt Companies,Contractor,Existing Cust,"Austin, TX",Tito's Vodka Expansion D11 - D14,KE,Kenco Float Switches,"$65,000",90%,End customer expansion continuation,On Hold,Joint meeting in Junewith Magnum Engineering and AWC,9/1/2020,5/20 Seth responded they are still working on timeline with Titos
18,Austin,Sean Marroquin,5/12/2020,Vendor,Siemens,Capitol Aggregates,End User,Existing Cust,"Burnet, TX",Rock Crusher ,SC,Siemens VFDs,"$110,000",30%,Customer adding 2 new rock crusher motors,On Hold,Follow up with Chappa on June 1st,12/1/2020,"5/12 Spoke with customer, project on hold untill Q4"
18,Austin,Sean Marroquin,5/19/2020,Vendor,Banner Radio Demo / Mission Demo,Central Texas Water Maint.,Integrator,Existing Cust,"Buda, TX",Fort Hood Management,SC,S7-1200,"$10,000",50%,Taking over maint of water sites for Military Bases formerly run by American Water,Quoting,"Trainings for TIA Portal, waiting on model numbers to determine upgrade paths",6/1/2020,"5/12 Customer ordered software, waiting on models, ask for them"
18,Austin,Sean Marroquin,5/19/2020,Vendor,Mission Communications lead,City of Cameron,End User,New Cust,"Cameron, TX",Water System Upgrade,Mission Comm,M850 RTUs,"$20,000",50%,Aging water system,Quoting,Follow up with Gerald on timeline,7/1/2020,"5/19 Discovered customer retiring, reaching out to new contacts"
18,Austin,Sean Marroquin,5/19/2020,Vendor,Mission Communications lead,City of Miles,End User,New Cust,"Miles, TX",Water System Upgrade,Mission Comm,M850 RTUs,"$7,500",100%,Trial ended and customer needed to upgrade,Won,"Site visit with Matt, offer upgrades",5/19/2020,5/19 Secured order
18,Austin,Sean Marroquin,5/19/2020,Vendor,Invited to Siemens Innovation Seminar,Fox Robotics,OEM,New Cust,"Austin, TX",AGV Forklift for distribution centers,"SC, TU, PX, iGus","s71200F, cordsets, wire harnesses, custom sheet metal, enclosures, contract manufacturing","$50,000",90%,"Start up, used 1200F controller for small portion of project, needs help in project management of forklift builds",Working,"Quote wireharness package, sheetmetal package, and propose project builds with solutions partner, possible hiline",7/1/2020,"5/19 Waiting on multiple project bids due by Friday, deliver Rittal panel"
18,Austin,Sean Marroquin,5/19/2020,Colleague,Roberto Lopez,General Motors,End User,New Cust,"Austin, TX","Design Center Lab, Vision System network, RIO, HMI","SC, BN, PX","HMI, RTLS, RFID, 1500T, Banner, Turck","$100,000",10%,"Collegue left Urban Mining, fan of Siemens, went to Ovivo then to GM. I just so happen to know Roberto's boss. They are forming a new integration company on the side to support Urban Mining. Was told it is very difficult to penetrate AB heavy GM. All procurement is in MI, but they have no local support on their innovations lab. We have a shot at new manufacturing designs.",Discovery (S.P.I.N.),Joint meeting with Fred Maynard on high speed networking requirements to determine if 1500T with Profinet IRT will work for their application,1/1/2021,"5/19 Quoted Siemens Software to Roberto, provide them with starter kits"
18,Austin,Sean Marroquin,5/19/2020,Vendor,Phoenix Contact,Gibraltar,OEM,Existing Cust,"Burnet, TX",Automation of border wall manufacturing,SC,Solutions Partner,"$75,000",10%,"Cannot build the wall fast enough. Current pace will last through 2030. Not meeting gov timelines. Severe bottlenecks with forklifts, poor labor pool",Discovery (S.P.I.N.),"Anthony left. Set a meeting with solutions partner, such as Patti or local integrator such as RNB. Introduce to my forklift Robotics customer.. Fox Robotics.",1/1/2021,5/19 Emailed Anthony Heinen asking for meeting
18,Austin,Sean Marroquin,5/19/2020,AWC Internal,Prospecting,Gibraltar,OEM,Existing Cust,"Marble Falls, TX","Barriers, liftgates panel builds",PX,"Automation, HMI, terminal blocks, power supplies","$50,000",50%,"Customer is cheap, loves automation direct, but they have some quality issues. Panel shop manager interested in Siemens but having a hard time convincing management to change.",Working,Going around Ethan to influencer with a remoter trouble shooting approach. Ask if we can convert BOM.,10/1/2020,5/19 emailed Ethan for follow up
18,Austin,Sean Marroquin,5/19/2020,Vendor,Siemens Process,Lhoist,End User,Existing Cust,"Nolanville, TX",Instrumentation upgrades,St,"Weighing, Level, Mass Dynamics","$50,000",30%,"Customer upgrading plant, EH fell on their butts with service. Not impressed with quality or accuracy. Management change at the end of 2019 opened door even more.",Quoting,"Quoting Banner Vibration Monitoring Kit, onsite demo",6/1/2020,5/19 sent brochure and requested an on-site visit for demo
18,Austin,Sean Marroquin,5/19/2020,Vendor,Siemens website lead,Lock Joint Tube,End User,New Cust,"Temple, TX",Automation of materials from CNC,SC,"Intro to Solutions Partners, Siemens controls, Automaiton","$60,000",10%,Spare parts supply problems due to obsolete equipment. Employee sabatoge. Down time due to machine down or material handling bottlenecks.,Discovery (S.P.I.N.),Intro to Fox Robotics as solutions partner.,8/1/2020,5/19 emailed Thomas idea for automated material handling
18,Austin,Sean Marroquin,5/19/2020,Vendor,Turck,RSI-CRI,Contractor,Existing Cust,"Kyle, TX",US Army tank builds,"BN, Stahl","R Stahl Barriers, Banner Connectivity","$10,000",10%,Needing volume pricing on cordsets,Quoting,Formal introduction after covid,7/1/2020,"5/12 Quoted and sent Industrial Brochure, followed up with phone call. Customer is more of a governement reseller than integrator. Still opportunity for volume sale, but should be an IAM account."
18,Austin,Sean Marroquin,5/12/2020,Vendor,Mission Communications lead,Salem Ridge,End User,New Cust,"Cameron, TX",Water System Upgrade,Mission Comm,M850 RTUs,"$20,000",50%,"Customer aquired a used control panel with Mission, would like to activate and expand their small water system",Quoting,Set a meeting along with Cameron due to proximity,7/1/2020,5/12 Asked for timeline via email
18,Austin,Sean Marroquin,5/12/2020,Vendor,Mission Communications lead,Undine,Integrator,New Cust,"Willis, TX",Bolivar Peninsula Liftstation Upgrades for Undine,Mission Comm,M850 RTUs,"$75,000",90%,Customer landed contract for upgrade,On Hold,Work with Sarentec panelbuilder to expand scope of supply,6/1/2020,5/19 set meeting for 5/20 to discuss this and TNG
18,Austin,Sean Marroquin,5/12/2020,Vendor,MOXA request,Thermon,OEM,Existing Cust,"San Marcos, TX",Flour Canada part 2,MX,Networking switches,"$250,000",50%,"New networking team, expanding OEM solutions, too many systems, need for standidarzation, training",On Hold,Ask Ron for schedule update when I quote the PBs for Koch project.,8/1/2020,5/19 Quoting panelboards for different project
18,Austin,Sean Marroquin,5/12/2020,Other,Introduced to Urban Mining,TMT Solutions,Integrator,Existing Cust,"San Marcos, TX",Urban Mining panel builds,"SC, BN, PX","S71500R, Terminal blocks, Turck BL20 RIO,","$100,000",90%,"Panel shop, works close with Mid-Coast. Has Alan Bradley volume contract. AWC has brought them significant new business. Working to convert Phoenix from Graybar, controls and auto from Mid-coast by leveraging relationships and driving new business. What I bring, they buy ",Working,Meet with CJ on Friday for happy hour to discuss current projects with Urban,6/1/2020,
18,Austin,Sean Marroquin,5/12/2020,Vendor,Mission Communications lead,TNG Utility,End User,New Cust,"Brookshire, TX","Willow Creek Farms MUD Mission upgrades to Water Plant, Liftstation, WWTP.",Mission Comm,"M850 RTUs, Level, Mag, Banner Wireless & Condition Monitoring","$100,000",50%,"Board member former oilfield networking expert. Tired of outages, looking to modernize water system",Quoting,Quote Mission systems along with Sarentec as local contractor.,8/1/2020,"5/19 Needing contracting bid to complete quote, cleared instrumentation with Adv Process"
18,Austin,Sean Marroquin,5/12/2020,AWC Internal,IAM,United Rentals,OEM,Existing Cust,"San Marcos, TX",Waste Water Filtration panel builds,SC,"PLC HMI Instruments enclosures, controls","$10,000",10%,"New project manager, open to new vendors",Discovery (S.P.I.N.),"Set meeting for formal introduction, show upgraded products",8/1/2020,5/19 Customer in quarantine until June 15
18,Austin,Sean Marroquin,5/12/2020,Vendor,Metso Lead / PEC Announcement,XBiotech,End User,Existing Cust,"Austin, TX",Plant Expansion,"ME, SL",Valves and StoneL,"$50,000",10%,"Infectious desease expansion of lab. Needs building management, lab stations, air gas vac system, water management.",Discovery (S.P.I.N.),Contact,10/1/2020,"5/19 Found several contacts from 2014 from Brooks orders, reaching out 5/20"
18,Austin,Sean Marroquin,5/19/2020,AWC Internal,"Active in account with Moxa, asked for a shot in March",Thermon,OEM,Existing Cust,"San Marcos, TX",Koch Fertilizer,SC,Panelboards,"$250,000",30%,Price comparison to Eaton and Crouse Hines,Quoting,Set up joint meeting with Siemens and panelboard manager to discuss long term partnership,9/1/2020,"5/19 Quoted part 1, added 45 panels to bid"
18,Austin,Sean Marroquin,5/19/2020,AWC Internal,Brooks Lead,Texas A&M,End User,Existing Cust,"College Station, TX ",Lubricating Oil in test lab,"BR, GY, HO",MT3750,"$2,000",80%,Needs high accuracy for lab test,Quoting,Ask for tubing and valve opportunities,6/1/2020,5/19 Quoted
18,Austin,Sean Marroquin,5/19/2020,AWC Internal,BestFest 2018,Urban Mining,End User,Existing Cust,"San Marcos, TX",HD Conveyors,SC,"G120C, S71500, HMI","$10,000",90%,Patti engineering asked us to specify,Quoting,Follow up with Nick and Urban,6/1/2020,5/19 Quoted
18,Austin,Sean Marroquin,5/12/2020,AWC Internal,Panel Builder for Undine,Sarentec,Integrator,New Cust,"Willis, TX",New Panelshop customer,SC PX RT TU BN,"Pump Controls, power distribution, ","$60,000",40%,"Customer anti PLC but likes Walchem simplicity. Uses Siemens for pump controls, used to be the panel builder for water technologies. Currently buying though Crawford with VMI. Working with him on Mission projects gives us a shot.",Discovery (S.P.I.N.),Bring TNG opportunity to them for Bid,7/1/2020,
18,Austin,Sean Marroquin,5/12/2020,AWC Internal,Met at install for Undine / Sarentec,Capital Area Utility,Contractor,New Cust,"Austin, TX",Sun City and Oakshores water,MC,"Mission, valves, controls","$10,000",30%,"Customer manages several water plants, need for visibility and remote control",Discovery (S.P.I.N.),Quote M850 system with O&M,7/1/2020,
18,Austin,Sean Marroquin,5/19/2020,Other,PEC Announcement,Hospira ICU Med,End User,Existing Cust,"Austin, TX",Plant expansion for IV bags and wastewater upgrade,"Adalet, SC, HO, Metso, BR, ","PLC, Valves, EEX","$75,000",15%,Plant shutdown limited to July 4th week. Only 2 shtdwns per year,Discovery (S.P.I.N.),Work with OAM John Dodge to get on Bid list,7/1/2020,
1M,Midland,Casey Goldapp,5/21/2020,Colleague,Contact previously worked at Laredo.  He is working to get us setup as a supplier with Endeavor,Endeavor Energy,End User,New Cust,"Midland, TX",SWD Project,ME,Control Valves/ Instrumentation,"$12,000",30%,Contact interested in reducing costs (AWC can help).  Customer prefers AWC to other current vendors (service and follow through),Working,"Left message with Robert 5/19/2020 to follow up. Also, need to schedule appointment with JT Pitts (Robert's boss)",5/31/2020,working on update for this project
1M,Midland,Casey Goldapp,5/21/2020,Prospecting,Control System Optimization 25% offer,XTO Energy,End User,Existing Cust,"Carlsbad, NM",DI Dos Tank Battery,ST,Instrumentation/Drive Package/Valves,"$100,000",50%,"AWC is not vendor of choice, currently.  Opportunity for saving money in this oil market would be the compelling event.",Quoting,This has been quoted to XTO.  Have meeting with Customer 5/27/2020 to follow up.,5/31/2020,"Budget approved, quoting against Krohne and ABB"
1M,Midland,Erik Pierce,5/15/2020,Prospecting,Control System Optimization 25% offer,Concho Resources,End User,Existing Cust,"Midland, TX",Control System,"SC, ME","Siemens PLC system, Drives, Valves","$100,000",20%,"We do not have a deep relationship with Concho, so cost reduction is the compeling event.",Working,Scheduling meeting with Richard Troyer (Automation Superintendent),7/31/2020,"Interested in reducing overall cost of automation/control on well head/tank battery facilities. Field guys very interested, Richard Troyer is always FINE with what they have. Has to be his idea..."
1M,Midland,Erik Pierce,5/15/2020,Prospecting,Control System Optimization 25% offer,Discovery Natural Resources,End User,Existing Cust,"Midland, TX",PLC/Drives system,SC,Automation/Controls,"$20,000",40%,"Due to restructuring, our main contact is now responsible for more automation/control on the wellpad.",Working,Drives training/meeting on capability of Siemens drives for POC,7/31/2020,"Discovery looking for more support and similar costs to current system which is a ""home made"" automation direct system with some Fuji drives on POC applications."
1M,Midland,Erik Pierce,5/15/2020,Prospecting,Control System Optimization 25% offer,Pioneer Natural Resources,End User,Existing Cust,"Midland, TX",Oleumtech PT's,OT,Instrumentation ,"$25,000",30%,Cost reduction and strong relationship with Oleumtech,Working,Proposing meeting with other Pioneer engineers based out of Las Colinas,6/30/2020,Pioneer uses Oleumtech level and are interested in potential switch to OT from Rosemount to reduce overall cost of wellsite facilities.
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Customer contacted me about supplying them with other products,RR MACHINE,OEM,New Cust,"Dalhart, TX","Valve assemblies, automation","ME, PX, RT","7150 Ball Valves Assemblies, Phoenix, Enclosures","$15,000",75%,AWC - preferred vendor,Quoting,Received order for valve assemblies.  Meeting next week on the Rittal boxes and Phoenix products.,5/31/2020,"Monthly potential, Quoting vs Automation direct"
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Customer contacted me about updating previous quote,Sika Sales,Integrator,Existing Cust,"Abilene, TX",Valve assemblies,ME,Gear operated shut off valve assemblies,"$70,000",50%,"AWC is not vendor of choice, currently.  Able to provide efficiently and cost are going to be the compeling event.",Quoting,Requoted on 5/14.  Reaching out to Jonathan next week to follow up,6/15/2020,Was a previous quote request. Project is back up.
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Customer had us send in a transmitter and mag meter to be repaired in our service shop.  Both were diagnosed failed beyond repair.  ,White Energy  Hereford,End User,Existing Cust,"Hereford,Tx",Instrumentation,ST,"Mag Meters, Transmitters","$13,000",50%,"AWC not currently preferred vendor.  Performance, price and availability will be compelling event.",Working,Follow up with engineering to approve Siemens,6/30/2020,Working with purchaser to confirm cross over.  Engineering still approving.
1M,Midland,Jeramie Bartlett,5/21/2020,Customer,Customer noticed we were a Circor dist. and asked to assist in an update.,Valero/McKees Refinery,End User,Existing Cust,"Borger, TX",Update Sampling System,CS,CT76 Sampling System/Assemblies,"$45,000",50%,"AWC not currently preferred vendor.  Performance, price and availability will be compelling event.",Working,Set up conference call with customer to review quote.,6/15/2020,Followed up with project manager.  Wasn't needing for immediate project.  Looking like June before PO is issued.
1M,Midland,Erik Pierce,5/15/2020,Customer,Customer Request,Laredo Petroleum,End User,Existing Cust,"Midland, TX",Valves for produed water line project,ME,Jamesbury butterfly and ball valves. Valvcon Actuators.,"$24,000",100%,"Application required valve control, we are a trusted advisor from other projects",Won,Just got order this morning,5/15/2020,"Have won almost all instrumentation/process/control products on this project. MV Drives, Valves, Instrumentation. ~$500k project."
1M,Midland,Erik Pierce,5/15/2020,AWC Internal,Customer responding to conversation about Oleumtech products,Capitan Energy,End User,Existing Cust,"Carlsbad, NM",Oleumtech PT's,OT,Instrumentation,"$10,000",60%,"We sell Capitan Oleumtech for flow, pressure (with Wika transducers), and level. They want Oleumtech PT's if they are satisfied with performance so they can maintain continuity throughout their well pad.",Working,Follow up with customer on results of OT trial in field,6/30/2020,Capitan says they are profitable at $20/bbl and they are waiting to get through COVID to begin drilling again.
1M,Midland,Brian Corbell,5/14/2020,AWC Internal,Erik passed onto Brian,Scada Systems,Integrator,Existing Cust,"Iraan, Tx",Mag Meter Project ,ST,Instrumentation,"$37,000",50%,Scada really likes Siemens mags and use them whenever they can.,Working,Follow up with the customer & plan the next project,6/30/2020,1 Project is Near Completion with Another Possible Coming Up
1M,Midland,Casey Goldapp,5/13/2020,Customer,Existing customer request,Felix Water,End User,Existing Cust,"Pyote, TX",Turbine Meter - Scada connection,OT,"Radios, Turbine Meter Heads","$50,000",75%,AVAILABILITY.  Had 90% of order in stock in Midland.  This was critical.  Very short timeframe between project initiation and completion deadline.,Won,"Closed, 5/13/2020",5/15/2020,"Budget approved, should get order"
1M,Midland,Jeramie Bartlett,5/21/2020,Colleague,Control System Optimization 25% offer,IACX,End User,New Cust,"Borger, TX",Update PLC Control Systems/Gathering Stations,"ST, SC","Siemens HMI, Ethernet, PLCs","$120,000",50%,PLC/Control systems are aging and in need of upgrade.,Working,"Configuring parts list, finalizing quote.",6/30/2020,Working on phases to offer to custmer for best solution.
1M,Midland,Brian Corbell,5/14/2020,Customer,Jared With Tom-E-Lee Industries called us,Tom-E-Lee Industries,Integrator,New Cust,"Midland, TX",Power Supply Panels,PX,Enclosures,"$20,000",20%,,Working,Complete Quotations to the customer,6/22/2020,Material for Multiple Panels
1M,Midland,Casey Goldapp,5/21/2020,Customer,On going business,Tank Logix,Integrator,Existing Cust,"Midland, TX",Inverter Panels,RT,Rittal/Phoenix/Samlex,"$25,000",90%,AWC is preferred vendor.,Won,Follow up and support,6/30/2020,Ongoing panel builds
1M,Midland,Casey Goldapp,5/21/2020,Customer,Referral from existing XTO contact,XTO Energy,End User,Existing Cust,"Carlsbad, NM",Control Valves,ME,R Series Control Valves,"$360,000",20%,"AWC not currently preferred vendor.  Performance, price and availability will be compelling event.",Working,Left message with contact 5/19/2020.  He said that he is waiting on decision to try out a valve.  John Meyers - XTO Engineering Manager will make final decision.,6/30/2020,"Quoting against Fisher, Budget $ is available."
1M,Midland,Casey Goldapp,5/21/2020,Vendor,Referral from Siemens,PFP Industries,End User,New Cust,"Midland, TX",Biocide Chemical Plant,"ST, SC",Instrumentation/Automation,"$75,000",50%,"AWC - (I believe AWC is only vendor bidding on valves, instrumentation, and automation at this time).  Compelling events: Customer's previous experience with Siemens, Fair pricing on our proposal, ability to meet short startup deadline (Aug 1).",Quoting,"Next Step - AWC prepare and submit preliminary bid for project based on approved I/O count, instrument list, and valve list.",5/31/2020,"Budget approved, working on scope in order to quote"
1M,Midland,Casey Goldapp,5/21/2020,Customer,Current Customer - RFQ from customer,Apache - St Lawrence,End User,Existing Cust,"St. Lawrence, TX",SWD - Added Produced water measurement,ST,Instrumentation/Automation,"$10,000",50%,AWC - preferred vendor,Quoting,Provide quote for mag meters,5/31/2020,Budget has not been approved at this time.
1M,Midland,Casey Goldapp,5/21/2020,Customer,Current Customer - RFQ from customer,EOG Resources,End User,Existing Cust,"Midland, TX",Tank Battery Protocol conversion for cloud connectivity,RL,Redlion Protocol converters - DA30s,"$85,000",50%,AWC - preferred vendor,Quoting,"Quoted, follow up with customer to answer any additional questions regarding quote.  Find out more about budget availability and project timeline.",6/30/2020,Budget has not been approved at this time.
